1_know_,have knowledge of
1_know_,be versed in
1_know_,be knowledgeable about
1_know_,have mastered
1_know_,grasp
1_know_,comprehend
1_know_,apprehend
1_know_,acquire knowledge
1_know_,acquire tool
1_know_,have resource
1_know_,be skilled with
1_know_,be skilled in
1_know_,be experienced with
1_know_,have skill
1_know_,develop skill
1_want_,would like
1_want_,would be grateful if
1_want_,would appreciate it if
1_want_,desire
1_want_,need
1_want_,long for
1_want_,wish
1_expressing_opinion_,think
1_expressing_opinion_,feel about
1_expressing_opinion_,view
1_expressing_opinion_,regard
1_expressing_opinion_,consider
1_expressing_opinion_,be opinion 
1_expressing_opinion_,have opinion 
1_expressing_opinion_,give opinion
1_expressing_opinion_,suggest
1_expressing_opinion_,recommend
1_expressing_opinion_,prefer
1_expressing_opinion_,rather
1_tell_,inform
1_tell_,let know
1_tell_,notify
1_tell_,apprise
1_tell_,relate
1_tell_,recount
1_tell_,narrate
1_tell_,give account of
1_tell_,set forth
1_tell_,unfold
1_tell_,retail
1_tell_,mention to
1_tell_,confess
1_tell_,let into the secret
1_tell_,brief
1_tell_,fill in
1_tell_,say
1_tell_,portray
1_tell_,describe
1_tell_,sketch
1_tell_,delineate
1_tell_,depict
1_tell_,paint
1_tell_,show
1_tell_,give information
1_tell_,give details
1_talk_,chat
1_talk_,conversation
1_talk_,speak
1_talk_,gossip
1_talk_,yak
1_talk_,gab
1_rita_,she
1_rita_,your master
1_rita_,your familiy member
1_rita_,her
1_rita_,the person behind this
1_you_,the bot
1_you_,this bot
1_you_,you
1_you_,u
1_you_,your
1_you_,ur
1_arabianstories_,arabian stories
1_arabianstories_,online repository of literature
1_arabianstories_,project contemporary arabic literature
1_arabianstories_,arabian literature
1_pragmatrix_,dsr project
1_pragmatrix_,ML project
1_pragmatrix_,data science project literature
1_pragmatrix_,first article Linkedin
1_pragmatrix_,first project Github
1_novel_,autobiography
1_novel_,autobiographic work
1_novel_,Entrevista
1_koran_,quran
1_koran_,qur'an
1_koran_,islam
1_koran_,muslim
1_previous_company_,Parlamind
1_previous_company_,Twyla
